url,path,content_type,section,indexability,lastmod,priority,image_count,recommended_action,preservation_notes
https://www.visitbondibeach.com/bondi-blog/2025/1/5/understanding-bondi-beach-safety-signs,/bondi-blog/2025/1/5/understanding-bondi-beach-safety-signs,blog-post-dated,blog,indexable,2025-01-09,0.5,0,Keep unchanged,
https://www.visitbondibeach.com/bondi-blog/2025/1/7/top-things-to-do-in-bondi-for-kids-during-school-holidays,/bondi-blog/2025/1/7/top-things-to-do-in-bondi-for-kids-during-school-holidays,blog-post-dated,blog,indexable,2025-01-06,0.5,0,Keep unchanged,
https://www.visitbondibeach.com/bondi-blog/2025/1/5/exploring-bondi-beach-a-guide-to-wheelchair-access,/bondi-blog/2025/1/5/exploring-bondi-beach-a-guide-to-wheelchair-access,blog-post-dated,blog,indexable,2025-01-05,0.5,0,Keep unchanged,
https://www.visitbondibeach.com/bondi-blog/2025/1/5/are-there-thieves-or-pickpockets-at-bondi-beach,/bondi-blog/2025/1/5/are-there-thieves-or-pickpockets-at-bondi-beach,blog-post-dated,blog,indexable,2025-01-05,0.5,0,Keep unchanged,
https://www.visitbondibeach.com/bondi-blog/2025/1/5/surf-lifesaving-patrol-hours-at-bondi-bronte-tamarama,/bondi-blog/2025/1/5/surf-lifesaving-patrol-hours-at-bondi-bronte-tamarama,blog-post-dated,blog,indexable,2025-01-05,0.5,0,Keep unchanged,
https://www.visitbondibeach.com/bondi-blog/2025/1/5/catch-the-waves-live-bondi-beach-surf-cam,/bondi-blog/2025/1/5/catch-the-waves-live-bondi-beach-surf-cam,blog-post-dated,blog,indexable,2025-01-05,0.5,0,Keep unchanged,
https://www.visitbondibeach.com/bondi-blog/2025/1/4/nielsen-park-your-guide-to-sydneys-beloved-coastal-escape,/bondi-blog/2025/1/4/nielsen-park-your-guide-to-sydneys-beloved-coastal-escape,blog-post-dated,blog,indexable,2025-01-04,0.5,0,Keep unchanged,
https://www.visitbondibeach.com/bondi-blog/2025/1/2/how-far-is-bondi-beach-from-key-sydney-locations,/bondi-blog/2025/1/2/how-far-is-bondi-beach-from-key-sydney-locations,blog-post-dated,blog,indexable,2025-01-01,0.5,0,Keep unchanged,
https://www.visitbondibeach.com/bondi-blog/2024/3/19/bondis-best-running-routes,/bondi-blog/2024/3/19/bondis-best-running-routes,blog-post-dated,blog,indexable,2025-01-01,0.5,0,Keep unchanged,
https://www.visitbondibeach.com/bondi-blog/2025/1/1/top-50-activities-to-do-in-sydney-a-locals-guide,/bondi-blog/2025/1/1/top-50-activities-to-do-in-sydney-a-locals-guide,blog-post-dated,blog,indexable,2025-01-01,0.5,0,Keep unchanged,
https://www.visitbondibeach.com/bondi-blog/2025/1/1/locals-guide-to-sydneys-20-best-hidden-beaches,/bondi-blog/2025/1/1/locals-guide-to-sydneys-20-best-hidden-beaches,blog-post-dated,blog,indexable,2025-01-01,0.5,0,Keep unchanged,
https://www.visitbondibeach.com/bondi-blog/2023/12/13/celebrating-new-years-day-with-a-dutch-twist-at-bondi-beach,/bondi-blog/2023/12/13/celebrating-new-years-day-with-a-dutch-twist-at-bondi-beach,blog-post-dated,blog,indexable,2025-01-05,0.5,1,Keep unchanged,
