path,contentType,section,indexable,status,wordCount,ytdPageviews,impressions,clicks,jsonLdTypes,title
/bondi-blog,blog-index,blog,no,200,645,0,1,0,WebSite,Bondi Beach Local's Guide — Visit Bondi Beach
/bondi-blog/2024/12/13/moving-to-bondi-your-complete-guide-to-life-by-the-beach,blog-post-dated,blog,yes,200,776,0,2,0,WebSite|Article,Moving to Bondi: Your Complete Guide to Life by the Beach — Visit Bondi Beach
/bondi-blog/2024/12/13/bondi-beach-travel-guide-50-frequently-asked-questions-for-first-time-visitors,blog-post-dated,blog,yes,200,2166,0,1,0,WebSite|Article,Bondi Beach Travel Guide: 50 Frequently Asked Questions for First-Time Visitors — Visit Bondi Beach
/bondi-blog/2024/12/1/ranked-20-most-dramatic-bondi-rescue-rescues,blog-post-dated,blog,no,200,648,0,1,0,WebSite|Article,Ranked: 20 most dramatic Bondi Rescue rescues — Visit Bondi Beach
/bondi-blog/2024/12/1/a-festive-guide-best-streets-in-and-around-bondi-to-see-christmas-lights,blog-post-dated,blog,yes,200,591,0,0,0,WebSite|Article,A Festive Guide: Best Bondi & Eastern Suburbs Christmas Lights   — Visit Bondi Beach
/bondi-blog/2023/12/13/christmas-day-at-bondi-beach,blog-post-dated,blog,yes,200,629,108,11,0,WebSite|Article,Christmas Day at Bondi Beach: What to Know
/bondi-blog/2023/12/26/celebrating-christmas-day-at-bronte-beach-australias-biggest-christmas-party,blog-post-dated,blog,yes,200,420,0,2,0,WebSite|Article,Celebrating Christmas Day at Bronte Beach: Australia’s Biggest Christmas Party — Visit Bondi Beach
/bondi-blog/2024/10/17/sydney-beaches-closed-as-mystery-tar-balls-reach-bondi-beach,blog-post-dated,blog,yes,200,356,0,0,0,WebSite|Article,Sydney Beaches Reopened After Mystery Tar Balls Reach Bondi Beach — Visit Bondi Beach
/bondi-blog/2024/10/9/best-bondi-beach-tours-for-sydney-visitors,blog-post-dated,blog,yes,200,390,0,0,0,WebSite|Article,Best Bondi Beach Tours For Sydney Visitors — Visit Bondi Beach
/bondi-blog/2024/10/1/the-great-bondi-crumbl-cookie-scam,blog-post-dated,blog,yes,200,226,0,1,0,WebSite|Article,The great Bondi Crumbl cookie scam — Visit Bondi Beach
/bondi-blog/2024/9/21/can-the-public-swim-at-bondi-icebergs-ocean-pool,blog-post-dated,blog,yes,200,884,0,9,0,WebSite|Article,Can the Public Swim at Bondi Icebergs?
/bondi-blog/2023/11/17/tee-off-with-a-view-discover-bondi-golf-diggers-club,blog-post-dated,blog,yes,200,404,0,0,0,WebSite|Article,Tee Off with a View: Discover Bondi Golf & Diggers Club — Visit Bondi Beach
/bondi-blog/2024/9/23/locals-guide-to-the-best-kids-playgrounds-around-bondi,blog-post-dated,blog,yes,200,1012,0,0,0,WebSite|Article,Local’s Guide To The Best Kids Playgrounds Around Bondi — Visit Bondi Beach
/bondi-blog/2024/9/21/locals-guide-to-bondi-beachs-best-ice-cream,blog-post-dated,blog,no,200,483,0,0,0,WebSite|Article,Local’s guide to Bondi Beach’s best ice cream — Visit Bondi Beach
/bondi-blog/2024/9/21/the-bondi-hum-real-or-hoax,blog-post-dated,blog,yes,200,278,0,0,0,WebSite|Article,The Bondi Hum: Real or Hoax? — Visit Bondi Beach
/bondi-blog/2024/9/20/is-bondi-junction-the-same-as-bondi-beach,blog-post-dated,blog,yes,200,874,0,9,0,WebSite|Article,Is Bondi Junction the Same as Bondi Beach?
/bondi-blog/2024/9/18/guide-to-metal-detecting-at-bondi-beach,blog-post-dated,blog,yes,200,975,128,10,0,WebSite|Article,Metal Detecting at Bondi Beach: A Guide
/bondi-blog/2024/9/16/how-to-find-a-housemate-in-bondi-beach,blog-post-dated,blog,yes,200,245,0,1,0,WebSite|Article,How to Find a Place To Live in Bondi Beach — Visit Bondi Beach
/bondi-blog/2024/9/12/why-bondi-beach-is-so-famous-history-fame-and-culture,blog-post-dated,blog,yes,200,981,291,25,0,WebSite|Article,Why Bondi Beach Is So Famous: History & Culture
/bondi-blog/2024/9/8/is-it-safe-to-swim-at-bondi-beach-a-complete-guide,blog-post-dated,blog,yes,200,940,171,8,0,WebSite|Article,Is It Safe to Swim at Bondi Beach?
/bondi-blog/2024/9/7/the-best-vegetarian-and-vegan-restaurants-in-bondi-beach,blog-post-dated,blog,yes,200,827,0,0,0,WebSite|Article,The best vegetarian and vegan restaurants in Bondi Beach — Visit Bondi Beach
/bondi-blog/2024/9/7/getting-to-sydney-marathon-from-bondi-beach,blog-post-dated,blog,yes,200,567,0,7,0,WebSite|Article,Getting to the Sydney Marathon from Bondi
/bondi-blog/2024/9/7/an-insiders-guide-to-the-sydney-marathon-2024,blog-post-dated,blog,yes,200,534,0,0,0,WebSite|Article,An insider’s guide to the Sydney Marathon (2024) — Visit Bondi Beach
/bondi-blog/2024/9/13/25-reasons-why-sydney-is-better-than-melbourne,blog-post-dated,blog,yes,200,893,0,5,0,WebSite|Article,25 Reasons Sydney Beats Melbourne
/bondi-blog/2023/9/9/soaring-high-at-bondi-beach-festival-of-the-winds,blog-post-dated,blog,yes,200,409,0,1,0,WebSite|Article,Soaring High at Bondi Beach: Festival of the Winds 2024 — Visit Bondi Beach
/bondi-blog/2024/8/28/average-sea-temperatures-at-bondi-beach-month-by-month-guide,blog-post-dated,blog,yes,200,399,227,59,0,WebSite|Article,Bondi Beach Sea Temperatures Month by Month
/bondi-blog/city2surf-results,blog-post-legacy,blog,yes,200,286,603,91,1,WebSite|Article,City2Surf Results: 2026 Results & Every Year Since 2000
/bondi-blog/2024/7/25/help-3-week-city2surf-training-plan,blog-post-dated,blog,no,200,391,0,7,1,WebSite|Article,3-Week City2Surf Training Plan
/bondi-blog/2024/6/9/the-best-time-to-visit-bondi-beach-a-seasonal-guide,blog-post-dated,blog,yes,200,533,0,11,0,WebSite|Article,Bondi Beach Season by Season
